smiles,activity
O=C(OC1=CC(C=CC(C(N)=N)=C2)=C2C=C1)C3=CC=C(/N=C(N)/N)C=C3,1
N/C(N)=N/C1=CC=C(C(OC2=CC=C(CC(OCC(N(C)C)=O)=O)C=C2)=O)C=C1,1
N/C(N)=N/C1=CC=C(C(OCCN2CCN(C(N[C@H](C(N[C@@H](CCC3=CC=CC=C3)/C=C/S(C4=CC=CC=C4)(=O)=O)=O)CC5=CC=CC=C5)=O)CC2)=O)C=C1,1
ClC1=CC=C2C(N=CC=C2NC(CCCN(CC)CCO)C)=C1.O=S(O)(O)=O,1
BrC1=CC=C(N=C(C2=CC=C(OCC)C=C2)C=C3C(O)=O)C3=C1,1
OC[C@@H]1[C@@H](O)[C@@H](O)[C@@](C2=CC=C3N2N=CN=C3N)(C#N)O1,1
NC1=NC=NN2C1=CC=C2[C@@]3(C#N)[C@H](O)[C@H](O)[C@@H](COP(N[C@@H](C)C(OCC(CC)CC)=O)(OC4=CC=CC=C4)=O)O3,1
O=C(N[C@H](C(N[C@@H](C[C@@H]1CCNC1=O)C(O)S(=O)(O[Na])=O)=O)CC(C)C)OCC2=CC=CC=C2,1
CC(N[C@@H](CC(C)C)C(N[C@@H](CC(C)C)C(N[C@@H](CCSC)C([H])=O)=O)=O)=O,1
O=C(N[C@@H](CC(C)C)C(N[C@H](C(C(NCC1=CC=CC=N1)=O)=O)CCC)=O)OCC2=CC=CC=C2,1
CC(C)(C)NC(N[C@H](C(C)(C)C)C(N1[C@H](C(NC(C(C(N)=O)=O)CC2CCC2)=O)[C@H]3[C@H](C3(C)C)C1)=O)=O,1
O/C(CC/C=C(O)/O)=C\COC1=C2C(OC(C=C2)=O)=CC3=C1C=CO3,1
O=C1C2=CC=CC=C2[Se]N1C3=CC=CC=C3,1
O[C@@H]([C@H]1O)[C@@H](CO)O[C@H]1N2C(N/C(C=C2)=N/O)=O,1
O=C(C)N[C@@H](CC)C(N[C@@H](C(C)(C)C)C(N[C@@H](CC(C)C)C(N[C@@H](CCC(C)=O)/C=C/S(C)(=O)=O)=O)=O)=O,1
O=C(NCC)C1=CC(C(C2=CC(C(C)(C)O)=CC=C2OC3=C(C)C=C(F)C=C3C)=CN4C)=C(N1)C4=O,1
COC1=C(C(C2=C(O)C([C@@H](O[C@@H]3O[C@@H](C)[C@@H](O)[C@@H](N)C3)C[C@@](C(C)=O)(O)C4)=C4C(O)=C2C5=O)=O)C5=CC=C1,1
O=C(C1=C(O)C=C(O)C(C(C)C)=C1)N(C2)CC3=C2C=C(C=C3)CN4CCN(C)CC4,1
COC1=NC(OC)=C([C@@]([C@H](O)[C@H](CN(C)C)[C@@]2([H])C3=CC=CC=C3)(O)[C@@]2(C4=CC=C(C#N)C=C4)O5)C5=C1,1
