smiles,isactive
Cc1cccc(C)c1C(=O)c1ccc(O)cc1O,1
Nc1ccc(-c2ccc3ccccc3n2)cc1,0
Oc1cc(O)cc(Oc2c(O)cc(O)c3c2Oc2c(O)cc4oc5c(Oc6cc(O)cc(O)c6)c(O)cc(O)c5c4c2O3)c1,1
CC12CC(=CO)C(=O)CC1CCC1C2CCC2(C)C1CCC2(C)O,0
CC(=O)Oc1ccc(C(=C2CCCCC2)c2ccc(OC(C)=O)cc2)cc1,0
CC1CC2C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,0
CN(C)CCCN1c2ccccc2Sc2ccccc21,0
Cc1ccc(C(=O)C(C)CN2CCCCC2)cc1,0
O=[N+]([O-])OCC(CO)(CO)CO[N+](=O)[O-],1
CCc1cccc2c1N(C)Cc1cc(OCc3cnn(C)c3C)c(OCc3cc(C)n(C)n3)cc1-2,1
CCCCOc1cc(C(=O)OCCN(CC)CC)ccc1N,0
O=P(O)(O)OCC(O)C(O)C(O)C(O)COP(=O)(O)O,1
CCCCOc1ccc(C(=O)CCN2CCCCC2)cc1,0
CCOc1ccc2nc(S(N)(=O)=O)sc2c1,0
CC(=O)Oc1ccc(C=Cc2cc(OC(C)=O)cc(OC(C)=O)c2)cc1,0
O=C(Nc1ccc(O)cc1)c1ccccc1O,0
CN(Cc1ccc(C(C)(C)C)cc1)Cc1cccc2ccccc12.Cl,1
O=C(O)C1OC(Oc2c(-c3ccc(O)c(O)c3)oc3cc(O)cc(O)c3c2=O)C(O)C(O)C1O,0
COc1c(O)cc(O)c2c(=O)cc(-c3ccccc3)oc12,0
CC(=O)Oc1ccccc1C(=O)Nc1ncc([N+](=O)[O-])s1,1
CCCNC(C)(C)COC(=O)c1ccccc1,0
O=C(O)CCC(=O)O,0
Oc1cc(O)c2c(c1)OC(c1ccc(O)c(O)c1)C(OC1(c3ccc(O)c(O)c3)Oc3cc(O)cc(O)c3C(O)C1O)C2,1
COc1cc(C=Cc2ccc(O)c(O)c2)cc(OC)c1,1
CCc1cccc2c1N(C)Cc1cc(OCc3cc(C)n(C)n3)c(OCc3cc(C)n(C)n3)cc1-2,1
COC(=O)C1(C)C(O)CCC2(C)c3cc4c(cc3CCC21)[nH]c1ccccc14,1
CN(C)CCN(Cc1ccccc1)c1ccccn1,0
CN(CC=CC#CC(C)(C)C)Cc1cccc2ccccc12.Cl,1
S=C=Nc1ccc(N=C=S)cc1,0
COC(c1ccccc1)(c1ccccc1)C(Oc1nc(C)cc(C)n1)C(=O)O,0
CCC(C)C1OC2(CCC1C)CC1CC(CC=C(C)C(OC3CC(OC)C(OC4CC(OC)C(O)C(C)O4)C(C)O3)C(C)C=CC=C3COC4C(O)C(C)=CC(C(=O)O1)C34O)O2,1
CC12CCC3C(=CCc4cc(O)ccc43)C1CCC2=O,0
CN(C)CCOC(=O)C(c1ccccc1)C1(O)CCCC1,0
O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,1
COc1cc(O)c(CC=C(C)C)c(O)c1C(=O)C=Cc1ccc(O)cc1,1
O=C(C=Cc1ccc(O)c(O)c1)OCCc1ccccc1,1
O=CNc1ccccc1,1
COC(=O)C1(C)C(O)CCC2(C)c3cc4c(cc3C(O)CC21)[nH]c1ccccc14,1
CC(=O)O.CCNC(=O)C1CCCN1C(=O)C(CCCNC(=N)N)NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)C(Cc1ccc(O)cc1)NC(=O)C(CO)NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)C(Cc1c[nH]cn1)NC(=O)C1CCC(=O)N1,1
NS(=O)(=O)c1cc2c(cc1Cl)NC(C(Cl)Cl)NS2(=O)=O,1
CC#CCC(C)C(O)C=CC1C(O)CC2CC(=CCCCC(=O)O)CC21,0
Cc1cn(C2C=CC(CO)O2)c(=O)[nH]c1=O,0
CCCCCCCCCCCC(=O)OCC(O)CO,1
Cn1ccnc1S,0
CC(C)C(=O)Nc1ncc(-c2cc(C(F)F)nn2-c2c(Cl)cccc2Cl)s1,0
OC(Cn1cnnn1)(c1ccc(F)cc1F)C(F)(F)c1ccc(-c2ccc(OCC(F)(F)F)cc2)cn1,1
CCN(CC)C(=S)SSC(=S)N(CC)CC,1
