name,smiles
"(1-((4-isopropylphenoxy)methyl)-6,7-dimethoxy-3,4-dihydroisoquinolin-2(1H)-yl)(3-nitrophenyl)methanone",COc1cc2c(cc1OC)C(COc1ccc(C(C)C)cc1)N(C(=O)c1cccc([N+](=O)[O-])c1)CC2
(1-[2-(4-Methylphenoxy)ethyl]-1H-benzimidazol-2-yl)methanol,Cc1ccc(OCCn2c(CO)nc3ccccc32)cc1
(1H-benzo[d]imidazol-2-yl)methanamine dihydrochloride,Cl.Cl.NCc1nc2ccccc2[nH]1
(1H-indol-2-yl)(thiomorpholino)methanone,O=C(c1cc2ccccc2[nH]1)N1CCSCC1
(1H-indol-4-yl)(4-phenylpiperazin-1-yl)methanone,O=C(c1cccc2[nH]ccc12)N1CCN(c2ccccc2)CC1
"(1S,2S,4S)-1,7,7-trimethylbicyclo[2.2.1]heptan-2-yl 6-methoxy-2-oxo-2H-chromene-3-carboxylate",COc1ccc2oc(=O)c(C(=O)OC3CC4CCC3(C)C4(C)C)cc2c1
"(1-Tosylpiperidin-4-yl)(1,3,3-trimethyl-6-azabicyclo[3.2.1]octan-6-yl)methanone",Cc1ccc(S(=O)(=O)N2CCC(C(=O)N3CC4(C)CC3CC(C)(C)C4)CC2)cc1
"(2-(Benzyloxy)phenyl)(3-(2,3-dihydrobenzo[b][1,4]dioxin-6-yl)oxiran-2-yl)methanone",O=C(c1ccccc1OCc1ccccc1)C1OC1c1ccc2c(c1)OCCO2
"(2,2-Dimethylcyclopentyl)methanamine",CC1(C)CCCC1CN
"(2,3-dihydrobenzo[f][1,4]oxazepin-4(5H)-yl)(pyridin-2-yl)methanone",O=C(c1ccccn1)N1CCOc2ccccc2C1
"(2,6-Dimethylcyclohexyl)methanamine",CC1CCCC(C)C1CN
(2-Adamantan-1-YL-ethyl)-ethyl-amine hydrochloride,CCNCCC12CC3CC(CC(C3)C1)C2.Cl
"(2E)-1-(2,4-dimethoxyphenyl)-3-(2,5-dimethoxyphenyl)prop-2-en-1-one",COc1ccc(OC)c(/C=C/C(=O)c2ccc(OC)cc2OC)c1
"(2E)-1-(2,4-dimethoxyphenyl)-3-(2-fluorophenyl)prop-2-en-1-one",COc1ccc(C(=O)/C=C/c2ccccc2F)c(OC)c1
"(2E)-1-(2,4-dimethoxyphenyl)-3-(3,4,5-trimethoxyphenyl)prop-2-en-1-one",COc1ccc(C(=O)/C=C/c2cc(OC)c(OC)c(OC)c2)c(OC)c1
"(2E)-1-(2,4-dimethoxyphenyl)-3-(4-methylphenyl)prop-2-en-1-one",COc1ccc(C(=O)/C=C/c2ccc(C)cc2)c(OC)c1
"(2E)-1-(2,5-dimethoxyphenyl)-3-(3,4,5-trimethoxyphenyl)prop-2-en-1-one",COc1ccc(OC)c(C(=O)/C=C/c2cc(OC)c(OC)c(OC)c2)c1
(2E)-1-(2-hydroxy-4-methoxyphenyl)-3-(4-methylphenyl)prop-2-en-1-one,COc1ccc(C(=O)/C=C/c2ccc(C)cc2)c(O)c1
"(2E)-1-(4-Bromophenyl)-3-(2,4-dimethoxyphenyl)prop-2-en-1-one",COc1ccc(/C=C/C(=O)c2ccc(Br)cc2)c(OC)c1
(2E)-1-(4-hydroxyphenyl)-3-(4-methylphenyl)prop-2-en-1-one,Cc1ccc(/C=C/C(=O)c2ccc(O)cc2)cc1
(2E)-1-(4-methoxyphenyl)-3-(4-methylphenyl)prop-2-en-1-one,COc1ccc(C(=O)/C=C/c2ccc(C)cc2)cc1
(2E)-1-(5-bromo-2-hydroxyphenyl)-3-(2-methoxyphenyl)prop-2-en-1-one,COc1ccccc1/C=C/C(=O)c1cc(Br)ccc1O
"(2E)-1-(5-chloro-2-hydroxyphenyl)-3-(2,4-dimethoxyphenyl)prop-2-en-1-one",COc1ccc(/C=C/C(=O)c2cc(Cl)ccc2O)c(OC)c1
(2E)-1-(5-chloro-2-hydroxyphenyl)-3-(2-methoxyphenyl)prop-2-en-1-one,COc1ccccc1/C=C/C(=O)c1cc(Cl)ccc1O
(2E)-1-(5-chloro-2-hydroxyphenyl)-3-(4-methylphenyl)prop-2-en-1-one,Cc1ccc(/C=C/C(=O)c2cc(Cl)ccc2O)cc1
(2E)-1-(5-fluoro-2-hydroxyphenyl)-3-(2-methoxyphenyl)prop-2-en-1-one,COc1ccccc1/C=C/C(=O)c1cc(F)ccc1O
"(2E)-1,3-bis(2,4-dimethoxyphenyl)prop-2-en-1-one",COc1ccc(/C=C/C(=O)c2ccc(OC)cc2OC)c(OC)c1
"(2E)-2-(1,3-benzothiazol-2-yl)-3-(3-nitrophenyl)prop-2-enenitrile",N#C/C(=C\c1cccc([N+](=O)[O-])c1)c1nc2ccccc2s1
"(2E)-2-(1,3-benzothiazol-2-yl)-3-[(2-methylphenyl)amino]prop-2-enenitrile",Cc1ccccc1N/C=C(\C#N)c1nc2ccccc2s1
"(2E)-2-(1,3-benzothiazol-2-yl)-3-[(4-methylphenyl)amino]prop-2-enenitrile",Cc1ccc(N/C=C(\C#N)c2nc3ccccc3s2)cc1
(2E)-2-[(4-methylbenzoyl)amino]-3-phenylacrylic acid,Cc1ccc(C(=O)N/C(=C/c2ccccc2)C(=O)O)cc1
"(2E)-3-(2,4-dimethoxyphenyl)-1-(2,5-dimethoxyphenyl)prop-2-en-1-one",COc1ccc(/C=C/C(=O)c2cc(OC)ccc2OC)c(OC)c1
"(2E)-3-(2,4-dimethoxyphenyl)-1-(5-fluoro-2-hydroxyphenyl)prop-2-en-1-one",COc1ccc(/C=C/C(=O)c2cc(F)ccc2O)c(OC)c1
"(2E)-3-(2,4-dimethoxyphenyl)-1-phenylprop-2-en-1-one",COc1ccc(/C=C/C(=O)c2ccccc2)c(OC)c1
"(2E)-3-(2,5-dimethoxyphenyl)-1-(4-methoxyphenyl)prop-2-en-1-one",COc1ccc(C(=O)/C=C/c2cc(OC)ccc2OC)cc1
"(2E)-3-(2-chlorophenyl)-1-(2,4-dimethoxyphenyl)prop-2-en-1-one",COc1ccc(C(=O)/C=C/c2ccccc2Cl)c(OC)c1
(2E)-3-(2-chlorophenyl)-1-(2-hydroxy-4-methoxyphenyl)prop-2-en-1-one,COc1ccc(C(=O)/C=C/c2ccccc2Cl)c(O)c1
"(2E)-3-(3,4-dimethoxyphenyl)-N-(2-methoxyphenyl)prop-2-enamide",COc1ccccc1NC(=O)/C=C/c1ccc(OC)c(OC)c1
(2E)-3-(3-hydroxyphenyl)-1-(4-methoxyphenyl)prop-2-en-1-one,COc1ccc(C(=O)/C=C/c2cccc(O)c2)cc1
"(2E)-3-(4-chlorophenyl)-1-(2,4-dimethoxyphenyl)prop-2-en-1-one",COc1ccc(C(=O)/C=C/c2ccc(Cl)cc2)c(OC)c1
"(2E)-3-(4-chlorophenyl)-1-(2,5-dimethoxyphenyl)prop-2-en-1-one",COc1ccc(OC)c(C(=O)/C=C/c2ccc(Cl)cc2)c1
(2E)-3-(4-chlorophenyl)-1-(2-hydroxy-4-methoxyphenyl)prop-2-en-1-one,COc1ccc(C(=O)/C=C/c2ccc(Cl)cc2)c(O)c1
(2E)-3-(4-ethoxyphenyl)-N-(2-methoxyphenyl)prop-2-enamide,CCOc1ccc(/C=C/C(=O)Nc2ccccc2OC)cc1
"(2E)-3-(4-hydroxy-3-methoxy-5-nitrophenyl)-2-[4-(4-methylphenyl)-1,3-thiazol-2-yl]prop-2-enenitrile",COc1cc(/C=C(\C#N)c2nc(-c3ccc(C)cc3)cs2)cc([N+](=O)[O-])c1O
(2E)-3-(4-hydroxyphenyl)-1-(4-methoxyphenyl)prop-2-en-1-one,COc1ccc(C(=O)/C=C/c2ccc(O)cc2)cc1
"(2E)-3-(6-bromo-4H-1,3-benzodioxin-8-yl)-1-(4-methoxyphenyl)prop-2-en-1-one",COc1ccc(C(=O)/C=C/c2cc(Br)cc3c2OCOC3)cc1
(2E)-3-(furan-2-yl)-N-(4-methoxyphenyl)prop-2-enamide,COc1ccc(NC(=O)/C=C/c2ccco2)cc1
(2E)-3-(furan-2-yl)-N-(4-phenoxyphenyl)prop-2-enamide,O=C(/C=C/c1ccco1)Nc1ccc(Oc2ccccc2)cc1
(2E)-3-(furan-2-yl)-N-[4-methoxy-3-(2-oxopyrrolidin-1-yl)phenyl]prop-2-enamide,COc1ccc(NC(=O)/C=C/c2ccco2)cc1N1CCCC1=O
"(2E)-N-({4-[(2,6-dimethoxypyrimidin-4-yl)sulfamoyl]phenyl}carbamothioyl)-3-phenylprop-2-enamide",COc1cc(NS(=O)(=O)c2ccc(NC(=S)NC(=O)/C=C/c3ccccc3)cc2)nc(OC)n1
"(2E)-N-(2,4-dimethoxyphenyl)-3-(4-ethoxyphenyl)prop-2-enamide",CCOc1ccc(/C=C/C(=O)Nc2ccc(OC)cc2OC)cc1
(2E)-N-(2-methoxyphenyl)-3-(4-propoxyphenyl)prop-2-enamide,CCCOc1ccc(/C=C/C(=O)Nc2ccccc2OC)cc1
(2E)-N-(2-methoxyphenyl)-3-(5-methylfuran-2-yl)prop-2-enamide,COc1ccccc1NC(=O)/C=C/c1ccc(C)o1
"(2E,5E)-2-((2,3-dimethylphenyl)imino)-5-(3-ethoxy-4-hydroxybenzylidene)thiazolidin-4-one",CCOc1cc(/C=C2/S/C(=N/c3cccc(C)c3C)NC2=O)ccc1O
"(2E,5E)-2-((2,3-dimethylphenyl)imino)-5-(4-hydroxy-3-methoxybenzylidene)thiazolidin-4-one",COc1cc(/C=C2/S/C(=N/c3cccc(C)c3C)NC2=O)ccc1O
"(2E,5E)-2-((2,4-dimethylphenyl)imino)-5-(3,4,5-trimethoxybenzylidene)thiazolidin-4-one",COc1cc(/C=C2/S/C(=N/c3ccc(C)cc3C)NC2=O)cc(OC)c1OC
"(2E,5E)-2-((2,4-dimethylphenyl)imino)-5-(3-ethoxy-4-hydroxybenzylidene)thiazolidin-4-one",CCOc1cc(/C=C2/S/C(=N/c3ccc(C)cc3C)NC2=O)ccc1O
"(2E,5E)-2-((2-chlorophenyl)imino)-5-(4-hydroxy-3-methoxybenzylidene)thiazolidin-4-one",COc1cc(/C=C2/S/C(=N/c3ccccc3Cl)NC2=O)ccc1O
"(2E,5E)-2-((2-fluorophenyl)imino)-5-(4-hydroxy-3-methoxybenzylidene)thiazolidin-4-one",COc1cc(/C=C2/S/C(=N/c3ccccc3F)NC2=O)ccc1O
"(2E,5E)-2-((3,4-dimethylphenyl)imino)-5-(3,4,5-trimethoxybenzylidene)thiazolidin-4-one",COc1cc(/C=C2/S/C(=N/c3ccc(C)c(C)c3)NC2=O)cc(OC)c1OC
"(2E,5E)-2-((3,4-dimethylphenyl)imino)-5-(4-hydroxy-3-methoxybenzylidene)thiazolidin-4-one",COc1cc(/C=C2/S/C(=N/c3ccc(C)c(C)c3)NC2=O)ccc1O
"(2E,5E)-2-((4-hydroxyphenyl)imino)-5-((E)-2-methyl-3-phenylallylidene)thiazolidin-4-one",CC(=C\c1ccccc1)/C=C1/S/C(=N/c2ccc(O)cc2)NC1=O
"(2E,5E)-2-((4-hydroxyphenyl)imino)-5-(2,3,4-trimethoxybenzylidene)thiazolidin-4-one",COc1ccc(/C=C2/S/C(=N/c3ccc(O)cc3)NC2=O)c(OC)c1OC
"(2E,5E)-2-(p-tolylimino)-5-(3,4,5-trimethoxybenzylidene)thiazolidin-4-one",COc1cc(/C=C2/S/C(=N/c3ccc(C)cc3)NC2=O)cc(OC)c1OC
"(2E,5E)-5-((E)-2-methyl-3-phenylallylidene)-2-(p-tolylimino)thiazolidin-4-one",CC(=C\c1ccccc1)/C=C1/S/C(=N/c2ccc(C)cc2)NC1=O
"(2E,5E)-5-(3-ethoxy-4-hydroxybenzylidene)-2-((2-(trifluoromethyl)phenyl)imino)thiazolidin-4-one",CCOc1cc(/C=C2/S/C(=N/c3ccccc3C(F)(F)F)NC2=O)ccc1O
"(2E,5E)-5-(3-ethoxy-4-hydroxybenzylidene)-2-((2-fluorophenyl)imino)thiazolidin-4-one",CCOc1cc(/C=C2/S/C(=N/c3ccccc3F)NC2=O)ccc1O
"(2E,5E)-5-(3-ethoxy-4-hydroxybenzylidene)-2-(o-tolylimino)thiazolidin-4-one",CCOc1cc(/C=C2/S/C(=N/c3ccccc3C)NC2=O)ccc1O
"(2E,5E)-5-(3-ethoxy-4-hydroxybenzylidene)-2-(phenylimino)-1,3-thiazolidin-4-one",CCOc1cc(/C=C2/S/C(=N/c3ccccc3)NC2=O)ccc1O
"(2E,5E)-5-(4-hydroxy-3-methoxybenzylidene)-2-((2-(trifluoromethyl)phenyl)imino)thiazolidin-4-one",COc1cc(/C=C2/S/C(=N/c3ccccc3C(F)(F)F)NC2=O)ccc1O
"(2E,5Z)-2-((4-methoxyphenyl)imino)-5-((E)-3-phenylallylidene)thiazolidin-4-one",COc1ccc(/N=C2\NC(=O)/C(=C/C=C/c3ccccc3)S2)cc1
"(2E,5Z)-5-(4-(dimethylamino)benzylidene)-2-((4-hydroxyphenyl)imino)thiazolidin-4-one",CN(C)c1ccc(/C=C2\S/C(=N/c3ccc(O)cc3)NC2=O)cc1
(2-Methyl-4-oxo-4H-quinazolin-3-yl)-acetic acid,Cc1nc2ccccc2c(=O)n1CC(=O)O
"(2-Methyl-5,6,7,8-tetrahydro-benzo[4,5]thieno-[2,3-d]pyrimidin-4-ylamino)-acetic acid",Cc1nc(NCC(=O)O)c2c3c(sc2n1)CCCC3
(2-Methylcyclopentyl)methanamine hydrochloride,CC1CCCC1CN.Cl
"(2R,3R,6S)-4-Methoxy-16",COC1=C[C@@]2(CCC3)N3CCC4=CC5=C(OCO5)C=C4[C@@]2([H])[C@H]1O[H]
