compound_names,smiles,isactive,,
2-chloro-N-(2-methyl-4-(2-methyl-4-oxoquinazolin-3(4H)-yl)phenyl)-5-nitrobenzamide,Cc1cc(-n2c(C)nc3ccccc3c2=O)ccc1NC(=O)c1cc([N+](=O)[O-])ccc1Cl,0.917961454,1,0.01%
N-(2-chloro-5-(2-methyl-4-oxoquinazolin-3(4H)-yl)phenyl)-3-nitrobenzamide,Cc1nc2ccccc2c(=O)n1-c1ccc(Cl)c(NC(=O)c2cccc([N+](=O)[O-])c2)c1,0.909903288,2,0.03%
4-chloro-N-(2-fluoro-5-(2-methyl-4-oxoquinazolin-3(4H)-yl)phenyl)-3-nitrobenzamide,Cc1nc2ccccc2c(=O)n1-c1ccc(F)c(NC(=O)c2ccc(Cl)c([N+](=O)[O-])c2)c1,0.904798506,3,0.04%
"5-chloro-N-(2-methyl-4-oxo-3-phenyl-3,4-dihydroquinazolin-6-yl)-2-nitrobenzamide",Cc1nc2ccc(NC(=O)c3cc(Cl)ccc3[N+](=O)[O-])cc2c(=O)n1-c1ccccc1,0.900370118,4,0.06%
"N-(3-(4-methoxyphenyl)-2-methyl-4-oxo-3,4-dihydroquinazolin-6-yl)-2-methyl-3-nitrobenzamide",COc1ccc(-n2c(C)nc3ccc(NC(=O)c4cccc([N+](=O)[O-])c4C)cc3c2=O)cc1,0.897517639,5,0.07%
Lercanidipine,CC1=C(C(C(=C(N1)C)C(=O)OC(C)(C)CN(C)CCC(C2=CC=CC=C2)C3=CC=CC=C3)C4=CC(=CC=C4)[N+](=O)[O-])C(=O)OC,0.896368029,6,0.09%
4-chloro-N-(4-(2-methyl-4-oxoquinazolin-3(4H)-yl)phenyl)-3-nitrobenzamide,Cc1nc2ccccc2c(=O)n1-c1ccc(NC(=O)c2ccc(Cl)c([N+](=O)[O-])c2)cc1,0.89548811,7,0.10%
"7-(4-chlorobenzyl)-8-[(dibenzylamino)methyl]-1,3-dimethyl-3,7-dihydro-1H-purine-2,6-dione",Cn1c(=O)c2c(nc(CN(Cc3ccccc3)Cc3ccccc3)n2Cc2ccc(Cl)cc2)n(C)c1=O,0.8822249,8,0.12%
"N-(3-(4-fluorophenyl)-2-methyl-4-oxo-3,4-dihydroquinazolin-6-yl)-2-methyl-3-nitrobenzamide",Cc1c(C(=O)Nc2ccc3nc(C)n(-c4ccc(F)cc4)c(=O)c3c2)cccc1[N+](=O)[O-],0.879915632,9,0.13%
"(1-((4-isopropylphenoxy)methyl)-6,7-dimethoxy-3,4-dihydroisoquinolin-2(1H)-yl)(3-nitrophenyl)methanone",COc1cc2c(cc1OC)C(COc1ccc(C(C)C)cc1)N(C(=O)c1cccc([N+](=O)[O-])c1)CC2,0.878558701,10,0.14%
